x,y,z,value1,value2,value3    
19,6,0,-0.390537E+00,0.102731E+00,0.109020E+00
20,6,0,-0.330058E+00,0.745876E-01,0.925794E-01
21,6,0,-0.243496E+00,0.294724E-02,0.121627E-01
22,6,0,-0.183549E+00,0.565428E-01,0.399386E-01
23,6,0,-0.149837E+00,0.187565E-01,0.539265E-01
24,6,0,-0.121814E+00,0.729796E-02,0.725797E-02
25,6,0,-0.118848E+00,0.592247E-02,0.562775E-02
26,6,0,-0.122489E+00,0.641671E-02,0.140981E-01
27,6,0,-0.132286E+00,0.152248E-01,0.801460E-02
0,7,0,-0.136376E+00,0.137246E-01,0.980706E-02
1,7,0,-0.160704E+00,0.137150E-01,0.471205E-01
2,7,0,-0.194848E+00,0.117136E+00,0.247567E-01
3,7,0,-0.263142E+00,0.429973E-02,0.224160E-01
4,7,0,-0.355810E+00,0.000000E+00,0.100937E+00
5,7,0,-0.476512E+00,0.000000E+00,0.721866E-01
6,7,0,-0.590806E+00,0.000000E+00,0.464136E-01
7,7,0,-0.631936E+00,0.000000E+00,0.434978E-01
8,7,0,-0.583439E+00,0.000000E+00,0.498313E-01
9,7,0,-0.476563E+00,0.000000E+00,0.611563E-01
10,7,0,-0.347563E+00,0.000000E+00,0.112052E-02
11,7,0,-0.244784E+00,0.455941E-01,0.259004E-01
12,7,0,-0.222547E+00,0.440415E-01,0.300520E-01
13,7,0,-0.285738E+00,0.129112E+00,0.513337E-01
14,7,0,-0.346338E+00,0.741320E-01,0.102250E+00
15,7,0,-0.379429E+00,0.108805E+00,0.116328E+00
16,7,0,-0.418196E+00,0.959739E-01,0.105010E+00
17,7,0,-0.433548E+00,0.870957E-01,0.966388E-01
18,7,0,-0.414805E+00,0.895595E-01,0.102356E+00
19,7,0,-0.355598E+00,0.119901E+00,0.774289E-01
20,7,0,-0.313879E+00,0.114236E+00,0.132403E+00
21,7,0,-0.276792E+00,0.000000E+00,0.000000E+00
22,7,0,-0.186704E+00,0.404672E-01,0.277178E-01
23,7,0,-0.154868E+00,0.202546E-01,0.239006E-01
24,7,0,-0.129905E+00,0.167893E-01,0.850763E-02
25,7,0,-0.117940E+00,0.616320E-02,0.753540E-02
26,7,0,-0.115474E+00,0.830737E-02,0.602667E-02
27,7,0,-0.124108E+00,0.743135E-02,0.136624E-01
0,8,0,-0.166307E+00,0.139455E-01,0.103678E+00
1,8,0,-0.194848E+00,0.117136E+00,0.247567E-01
2,8,0,-0.282917E+00,0.136436E+00,0.121361E+00
3,8,0,-0.386085E+00,0.000000E+00,0.924722E-01
4,8,0,-0.577316E+00,0.000000E+00,0.471633E-01
5,8,0,-0.763637E+00,0.000000E+00,0.348089E-01
6,8,0,-0.870747E+00,0.000000E+00,0.333609E-01
7,8,0,-0.856788E+00,0.000000E+00,0.339054E-01
8,8,0,-0.728297E+00,0.000000E+00,0.383140E-01
9,8,0,-0.538168E+00,0.000000E+00,0.518524E-01
10,8,0,-0.358313E+00,0.000000E+00,0.110779E-02
11,8,0,-0.247490E+00,0.511314E-01,0.279211E-01
12,8,0,-0.255288E+00,0.133183E+00,0.523788E-01
13,8,0,-0.316781E+00,0.000000E+00,0.113011E+00
14,8,0,-0.328863E+00,0.797548E-01,0.211454E-02
15,8,0,-0.377007E+00,0.113441E+00,0.115464E+00
16,8,0,-0.402766E+00,0.100337E+00,0.102625E+00
17,8,0,-0.394977E+00,0.104226E+00,0.109769E+00
18,8,0,-0.355706E+00,0.118352E+00,0.114379E+00
19,8,0,-0.327908E+00,0.914601E-01,0.106947E+00
20,8,0,-0.259126E+00,0.118731E+00,0.130817E-01
21,8,0,-0.200536E+00,0.534104E-01,0.556445E-01
22,8,0,-0.197686E+00,0.000000E+00,0.000000E+00
23,8,0,-0.140861E+00,0.171094E-01,0.354855E-01
24,8,0,-0.116541E+00,0.603809E-02,0.648609E-02
25,8,0,-0.123052E+00,0.883794E-02,0.763341E-02
26,8,0,-0.130143E+00,0.884590E-02,0.367038E-01
27,8,0,-0.135287E+00,0.131682E-01,0.911951E-02
0,9,0,-0.198022E+00,0.000000E+00,0.224013E-01
1,9,0,-0.263142E+00,0.429936E-02,0.224152E-01
2,9,0,-0.386085E+00,0.000000E+00,0.924721E-01
3,9,0,-0.616088E+00,0.000000E+00,0.411365E-01
4,9,0,-0.864199E+00,0.000000E+00,0.334853E-01
5,9,0,-0.103588E+01,0.000000E+00,0.331291E-01
6,9,0,-0.107814E+01,0.000000E+00,0.334013E-01
7,9,0,-0.991023E+00,0.000000E+00,0.329145E-01
8,9,0,-0.786858E+00,0.000000E+00,0.350028E-01
9,9,0,-0.532381E+00,0.000000E+00,0.551765E-01
10,9,0,-0.342421E+00,0.949660E-01,0.352512E-01
11,9,0,-0.270804E+00,0.122466E+00,0.318910E-01
12,9,0,-0.299596E+00,0.232179E-02,0.757462E-01
13,9,0,-0.352434E+00,0.577388E-01,0.215813E-02
14,9,0,-0.429921E+00,0.876375E-01,0.925153E-01
15,9,0,-0.471416E+00,0.777290E-01,0.816808E-01
16,9,0,-0.479969E+00,0.787504E-01,0.784374E-01
17,9,0,-0.451504E+00,0.820739E-01,0.830003E-01
18,9,0,-0.391717E+00,0.104408E+00,0.103573E+00
19,9,0,-0.321872E+00,0.127485E+00,0.127368E+00
20,9,0,-0.247232E+00,0.843089E-01,0.854908E-01
21,9,0,-0.204991E+00,0.258461E-01,0.914579E-01
22,9,0,-0.179120E+00,0.104551E+00,0.000000E+00
23,9,0,-0.125913E+00,0.732708E-02,0.837418E-02
24,9,0,-0.129077E+00,0.841649E-02,0.123994E-01
25,9,0,-0.130708E+00,0.810808E-02,0.215663E-01
26,9,0,-0.151908E+00,0.996172E-01,0.955286E-02
27,9,0,-0.161840E+00,0.131282E-01,0.880613E-01
0,10,0,-0.255097E+00,0.000000E+00,0.743502E-01
1,10,0,-0.365817E+00,0.000000E+00,0.850746E-01
2,10,0,-0.616088E+00,0.000000E+00,0.411365E-01
3,10,0,-0.918117E+00,0.000000E+00,0.333672E-01
4,10,0,-0.114636E+01,0.000000E+00,0.341522E-01
5,10,0,-0.122773E+01,0.000000E+00,0.357055E-01
6,10,0,-0.120459E+01,0.000000E+00,0.354542E-01
7,10,0,-0.105742E+01,0.000000E+00,0.330498E-01
8,10,0,-0.777772E+00,0.000000E+00,0.346678E-01
9,10,0,-0.478257E+00,0.000000E+00,0.768073E-01
10,10,0,-0.298279E+00,0.968586E-01,0.588374E-01
11,10,0,-0.261692E+00,0.264775E-01,0.387863E-01
12,10,0,-0.298163E+00,0.248626E-02,0.740406E-01
13,10,0,-0.352573E+00,0.120242E+00,0.113340E+00
14,10,0,-0.394669E+00,0.106840E+00,0.109664E+00
15,10,0,-0.415428E+00,0.100313E+00,0.976218E-01
16,10,0,-0.408891E+00,0.954550E-01,0.948941E-01
17,10,0,-0.364615E+00,0.118021E+00,0.117203E+00
18,10,0,-0.319854E+00,0.119782E+00,0.127188E+00
19,10,0,-0.251933E+00,0.831209E-01,0.394643E-01
