x,y,z,water,no3,na
4.032258,1.129032,0.000000,18.31946046,0.00345240,-0.00025685
4.193548,1.129032,0.000000,18.28356042,0.00344759,-0.00025858
4.354839,1.129032,0.000000,18.66217249,0.00352410,-0.00026586
4.516129,1.129032,0.000000,18.88155144,0.00369992,-0.00027113
4.677419,1.129032,0.000000,18.96459401,0.00347345,-0.00028337
4.838710,1.129032,0.000000,19.16072275,0.00349402,-0.00028404
5.000000,1.129032,0.000000,16.87123947,0.00295701,-0.00036954
0.000000,1.290323,0.000000,18.24890736,0.00329606,-0.00022060
0.161290,1.290323,0.000000,18.73383819,0.00334853,-0.00016248
0.322581,1.290323,0.000000,18.32610349,0.00343924,-0.00016410
0.483871,1.290323,0.000000,18.45649084,0.00351935,-0.00016803
0.645161,1.290323,0.000000,18.28993481,0.00338985,-0.00017230
0.806452,1.290323,0.000000,18.16580944,0.00340439,-0.00017594
0.967742,1.290323,0.000000,18.26728832,0.00342506,-0.00017977
1.129032,1.290323,0.000000,18.66217249,0.00350770,-0.00018671
1.290323,1.290323,0.000000,18.88155144,0.00368316,-0.00019233
1.451613,1.290323,0.000000,18.96459401,0.00348249,-0.00020227
1.612903,1.290323,0.000000,19.16072275,0.00359692,-0.00020408
1.774194,1.290323,0.000000,18.69670840,0.00354983,-0.00020554
1.935484,1.290323,0.000000,18.64222700,0.00358176,-0.00020872
2.096774,1.290323,0.000000,18.40445178,0.00343655,-0.00021234
2.258065,1.290323,0.000000,18.31946046,0.00344431,-0.00021663
2.419355,1.290323,0.000000,18.28356042,0.00343965,-0.00021939
2.580645,1.290323,0.000000,18.66217249,0.00351617,-0.00022695
2.741935,1.290323,0.000000,18.88155144,0.00369177,-0.00023289
2.903226,1.290323,0.000000,18.96459401,0.00349063,-0.00024398
3.064516,1.290323,0.000000,19.16072275,0.00360531,-0.00024517
3.225806,1.290323,0.000000,18.69670840,0.00355810,-0.00024590
3.387097,1.290323,0.000000,18.64222700,0.00359006,-0.00024865
3.548387,1.290323,0.000000,18.40445178,0.00344446,-0.00025186
3.709677,1.290323,0.000000,18.31946046,0.00345217,-0.00025579
3.870968,1.290323,0.000000,18.28356042,0.00344744,-0.00025787
4.032258,1.290323,0.000000,18.66217249,0.00352402,-0.00026549
4.193548,1.290323,0.000000,18.88155144,0.00369991,-0.00027113
4.354839,1.290323,0.000000,18.96459401,0.00349818,-0.00028263
4.516129,1.290323,0.000000,19.16072275,0.00361299,-0.00028258
